epoch,loss,loss_kae,action,recon,state,latent,elapsed_s
1,1096.256103515625,58.20087194442749,1211.5956268310547,0.43618759885430336,57.75038957595825,0.01429478864884004,0.12324869888834655
2,1080.9163513183594,57.54504060745239,1194.6243133544922,0.4399920552968979,57.06014442443848,0.04490419034846127,0.2312582009471953
3,1065.828109741211,57.095510959625244,1177.9095153808594,0.4504821188747883,56.537781715393066,0.10724675841629505,0.33308479678817093
4,1054.2398681640625,56.89387607574463,1165.0561218261719,0.4746261015534401,56.234352111816406,0.18489819951355457,0.4426895489450544
5,1045.2743530273438,56.81645202636719,1155.103042602539,0.5107122287154198,56.01991319656372,0.28582687862217426,0.5456672739237547
6,1037.9506225585938,56.808777809143066,1146.9664459228516,0.549969919025898,55.836374282836914,0.42243294417858124,0.647357476875186
7,1031.2754364013672,56.79356002807617,1139.5512390136719,0.5913933664560318,55.65342569351196,0.5487407743930817,0.7520884098485112
8,1024.7700119018555,56.797035217285156,1132.3225860595703,0.6477163583040237,55.46809673309326,0.6812228262424469,0.8575351419858634
9,1019.4207077026367,56.85789155960083,1126.3721618652344,0.7218357175588608,55.31476974487305,0.8212859928607941,0.9685809179209173
10,1013.3992462158203,56.82841920852661,1119.6849060058594,0.8107340037822723,55.13202238082886,0.8856632634997368,1.08720908081159
11,1007.1366653442383,56.83505296707153,1112.7257537841797,0.9276120141148567,54.92741632461548,0.9800245985388756,1.2154618119820952
12,1001.321533203125,56.89051628112793,1106.2583465576172,1.050852358341217,54.72682332992554,1.1128411963582039,1.3443821028340608
13,995.6992034912109,56.845179080963135,1100.016357421875,1.1722009032964706,54.528236865997314,1.1447412222623825,1.4696130258962512
14,990.0862426757812,56.842215061187744,1093.7800598144531,1.278394415974617,54.29801893234253,1.2658020555973053,1.5981951910071075
15,983.842170715332,56.78816270828247,1086.8481750488281,1.3803996294736862,54.02836847305298,1.3793941140174866,1.7071155819576234
16,978.3749923706055,56.790339946746826,1080.7733154296875,1.52113638818264,53.78963375091553,1.4795703291893005,1.8120391028933227
