epoch,loss,loss_kae,action,recon,state,latent,elapsed_s
1,2578.0070190429688,134.84238052368164,2849.4697875976562,0.3108135610818863,134.5217227935791,0.009845140506513417,0.10123654897324741
2,2548.6954956054688,133.444091796875,2817.056854248047,0.3131634518504143,133.1188087463379,0.012120360624976456,0.180771600920707
3,2521.8878173828125,132.33443069458008,2787.393829345703,0.3161149360239506,132.00504302978516,0.01327599654905498,0.2591440440155566
4,2501.7894897460938,131.6082878112793,2765.14306640625,0.3242735527455807,131.26841926574707,0.015597327845171094,0.33640568191185594
5,2486.111785888672,131.09202194213867,2747.780731201172,0.33837713673710823,130.72878456115723,0.02485999616328627,0.4140026280656457
6,2472.3971252441406,130.65687942504883,2732.5904846191406,0.35468774288892746,130.25562858581543,0.04656378785148263,0.4910906560253352
7,2459.7565307617188,130.25182151794434,2718.5904846191406,0.3694610111415386,129.81214714050293,0.07021041540428996,0.5686461969744414
8,2447.3269653320312,129.83524703979492,2704.8260498046875,0.38392331823706627,129.36450386047363,0.08681827038526535,0.6455353200435638
9,2435.632110595703,129.4190902709961,2691.8781127929688,0.39813893660902977,128.93373107910156,0.08721941849216819,0.722739843884483
10,2423.423828125,129.00320434570312,2678.3594970703125,0.41225117444992065,128.45453357696533,0.13642246276140213,0.7998378269840032
11,2410.9591064453125,128.53921127319336,2664.5614013671875,0.4269789569079876,127.95583534240723,0.156397701241076,0.8771580539178103
12,2398.3965759277344,128.06769180297852,2650.6553955078125,0.4423139877617359,127.44014549255371,0.18523121997714043,0.9544571919832379
13,2385.71484375,127.58072662353516,2636.618682861328,0.45772913470864296,126.90438175201416,0.21861481666564941,1.0342922559939325
14,2372.949981689453,127.06703662872314,2622.4926147460938,0.47334932163357735,126.35178470611572,0.24190361239016056,1.112449298845604
15,2360.0142517089844,126.54049015045166,2608.1780395507812,0.48874931037425995,125.77527713775635,0.2764633521437645,1.1913181690033525
16,2346.8003845214844,125.98352909088135,2593.5579223632812,0.5037492141127586,125.17223453521729,0.30754506029188633,1.2708512218669057
17,2333.469696044922,125.4067497253418,2578.8101196289062,0.5208282470703125,124.5497694015503,0.3361512180417776,1.3499596489127725
18,2319.9135131835938,124.80903148651123,2563.8140563964844,0.5377295985817909,123.90249443054199,0.368807191029191,1.4291844910476357
19,2306.238250732422,124.19658374786377,2548.6873779296875,0.5507462844252586,123.23334980010986,0.41248637065291405,1.5082869208417833
20,2292.3357543945312,123.55656433105469,2533.311279296875,0.5660481378436089,122.54128456115723,0.44923165813088417,1.5886780968867242
21,2278.361602783203,122.90610313415527,2517.8567810058594,0.5823261961340904,121.83088970184326,0.4928859807550907,1.6671514578629285
22,2264.246795654297,122.23003578186035,2502.2486877441406,0.5973542481660843,121.10255336761475,0.5301294885575771,1.7484073399100453
23,2249.8688354492188,121.52761840820312,2486.351318359375,0.6114126741886139,120.35070610046387,0.5654976107180119,1.8268168829381466
24,2235.3659057617188,120.82538414001465,2470.31494140625,0.6247516945004463,119.58093643188477,0.6196967288851738,1.9057005250360817
25,2220.8036193847656,120.11288547515869,2454.2137451171875,0.6376040279865265,118.79875373840332,0.6765282526612282,1.9837156299035996
26,2206.1913452148438,119.369215965271,2438.060516357422,0.6479687318205833,118.0070972442627,0.7141505852341652,2.061635595979169
27,2191.5577087402344,118.56921291351318,2421.8898010253906,0.6585528180003166,117.21033954620361,0.7003225386142731,2.139591195853427
28,2177.214874267578,117.7638463973999,2406.0428161621094,0.6656693667173386,116.41800785064697,0.6801694855093956,2.218536172993481
29,2162.6305236816406,117.01439666748047,2389.9212951660156,0.66909559071064,115.60115242004395,0.7441479563713074,2.2969845929183066
30,2147.4041137695312,116.21697521209717,2373.0916748046875,0.6757896021008492,114.7479829788208,0.7932024002075195,2.374830476939678
31,2131.9007873535156,115.42370700836182,2355.953857421875,0.6867352724075317,113.8765344619751,0.8604369685053825,2.451633924851194
32,2116.1351013183594,114.61200618743896,2338.526611328125,0.706870399415493,112.98831748962402,0.9168199077248573,2.5284947669133544
33,2100.4581909179688,113.84477615356445,2321.193115234375,0.743024006485939,112.0972957611084,1.0044559389352798,2.6057729008607566
34,2084.607391357422,113.01435661315918,2303.67333984375,0.7557914704084396,111.19596576690674,1.0625979378819466,2.684935780009255
35,2068.779510498047,112.19005584716797,2286.178436279297,0.76142817735672,110.29300308227539,1.1356246769428253,2.763911433983594
36,2052.790069580078,111.3581657409668,2268.5047302246094,0.776162713766098,109.3796739578247,1.202329695224762,2.842502963030711
37,2036.7978515625,110.53662776947021,2250.826934814453,0.7957952618598938,108.46366596221924,1.2771685719490051,2.9213845359627157
38,2020.7688751220703,109.69767761230469,2233.1101684570312,0.8204096704721451,107.54570770263672,1.3315610587596893,3.0038912768941373
39,2004.7230987548828,108.85110187530518,2215.3755798339844,0.8455605283379555,106.62551021575928,1.3800304681062698,3.0819244468584657
40,1988.6055755615234,108.02950859069824,2197.5585327148438,0.8636044338345528,105.70052528381348,1.4653790593147278,3.160275229951367
41,1972.5572967529297,107.17982482910156,2179.821533203125,0.8649778887629509,104.78009510040283,1.5347503870725632,3.2382876239717007
42,1956.4931945800781,106.30817699432373,2162.0693359375,0.8845436349511147,103.85944366455078,1.5641887933015823,3.3158027578610927
43,1940.834457397461,105.43442630767822,2144.767852783203,0.8883694335818291,102.95940589904785,1.586650475859642,3.39439695305191
44,1924.8324890136719,104.56425380706787,2127.0845642089844,0.8938521221280098,102.0425500869751,1.6278518736362457,3.473407428013161
45,1909.0945739746094,103.74639701843262,2109.6888732910156,0.9069015681743622,101.13895225524902,1.700544148683548,3.5521925520151854
46,1892.9830474853516,102.98590564727783,2091.8717041015625,0.9695539474487305,100.21626567840576,1.800086349248886,3.6300034509040415
47,1876.6729736328125,102.15187740325928,2073.842010498047,0.985464334487915,99.28698444366455,1.8794303685426712,3.707664876943454
48,1860.4103088378906,101.27170467376709,2055.8701934814453,0.9817963689565659,98.35989284515381,1.9300169944763184,3.7851833270397037
49,1844.0516662597656,100.46105289459229,2037.7840118408203,1.0322387591004372,97.42963314056396,1.999179795384407,3.863244693959132
50,1827.8198699951172,99.7022476196289,2019.8329620361328,1.088669940829277,96.50504684448242,2.1085290610790253,3.9439025728497654
51,1811.5039672851562,98.95663738250732,2001.7870788574219,1.15632726252079,95.58052349090576,2.219786211848259,4.022576296934858
52,1795.3932647705078,98.15914058685303,1983.9748840332031,1.1107072979211807,94.66276550292969,2.3856664299964905,4.100174717837945
53,1778.8573150634766,97.36473846435547,1965.6898956298828,1.1294688135385513,93.72996425628662,2.5053054988384247,4.178347402019426
